,location_code,fiscal_year,budget_category,amountNum
5004,K371,2018,Paraprofessionals,2100495
5005,K371,2018,Teacher,932212
5006,K371,2019,Leadership,468636
5007,K371,2019,Paraprofessionals,2556770
5008,K371,2019,Teacher,1142622
5009,K371,2020,Leadership,325175
5010,K371,2020,Paraprofessionals,2665720
5011,K371,2020,Teacher,1079100
5012,K371,2021,Leadership,487039
5013,K371,2021,Paraprofessionals,2657783
5014,K371,2021,Teacher,923040
5015,K371,2022,Leadership,375578
5016,K371,2022,Paraprofessionals,2291809
5017,K371,2022,Teacher,835713
5018,K371,2023,Leadership,494095
5019,K371,2023,Paraprofessionals,2221179
5020,K371,2023,Teacher,849157
5021,K372,2018,Leadership,289534
5022,K372,2018,Paraprofessionals,2150156
5023,K372,2018,Teacher,1195272
5024,K372,2019,Leadership,303299
5025,K372,2019,Paraprofessionals,2207046
5026,K372,2019,Teacher,1417899
5027,K372,2020,Leadership,418389
5028,K372,2020,Paraprofessionals,2291433
5029,K372,2020,Teacher,1146391
5030,K372,2021,Leadership,472812
5031,K372,2021,Paraprofessionals,2288885
5032,K372,2021,Teacher,1199952
5033,K372,2022,Leadership,497219
5034,K372,2022,Paraprofessionals,2017506
5035,K372,2022,Teacher,1149335
5036,K372,2023,Leadership,502968
5037,K372,2023,Paraprofessionals,1981666
5038,K372,2023,Teacher,967434
5039,K373,2018,Leadership,640261
5040,K373,2018,Paraprofessionals,3158125
5041,K373,2018,Teacher,1557292
5042,K373,2019,Leadership,755059
5043,K373,2019,Paraprofessionals,3760702
5044,K373,2019,Teacher,1587946
5045,K373,2020,Leadership,775787
5046,K373,2020,Paraprofessionals,3881733
5047,K373,2020,Teacher,2055766
5048,K373,2021,Leadership,812195
5049,K373,2021,Paraprofessionals,3762497
5050,K373,2021,Teacher,2044216
5051,K373,2022,Leadership,532783
5052,K373,2022,Paraprofessionals,3621832
5053,K373,2022,Teacher,1908925
5054,K373,2023,Leadership,738930
5055,K373,2023,Paraprofessionals,4312276
5056,K373,2023,Teacher,2002787
5057,K375,2018,Leadership,378943
5058,K375,2018,Paraprofessionals,834436
5059,K375,2018,Teacher,2678650
5060,K375,2019,Leadership,412431
5061,K375,2019,Paraprofessionals,823501
5062,K375,2019,Teacher,2748146
5063,K375,2020,Leadership,259279
5064,K375,2020,Paraprofessionals,828816
5065,K375,2020,Teacher,2748543
5066,K375,2021,Leadership,359300
5067,K375,2021,Paraprofessionals,855932
5068,K375,2021,Teacher,2648986
5069,K375,2022,Leadership,291640
5070,K375,2022,Paraprofessionals,817286
5071,K375,2022,Teacher,2643741
5072,K375,2023,Leadership,298307
5073,K375,2023,Paraprofessionals,826203
5074,K375,2023,Teacher,2996442
5075,K376,2018,Leadership,341758
5076,K376,2018,Paraprofessionals,343588
5077,K376,2018,Teacher,2929081
5078,K376,2019,Leadership,354538
5079,K376,2019,Paraprofessionals,357499
5080,K376,2019,Teacher,3090297
5081,K376,2020,Leadership,392353
5082,K376,2020,Paraprofessionals,255147
5083,K376,2020,Teacher,3137790
5084,K376,2021,Leadership,414169
5085,K376,2021,Paraprofessionals,301992
5086,K376,2021,Teacher,2570407
5087,K376,2022,Leadership,443529
